,distance (mm),relative dose
0,0.0,0.35031
1,1.0,0.3824
2,2.0,0.42679
3,3.0,0.47868
4,4.0,0.52853
5,5.0,0.57019
6,6.0,0.60228
7,7.0,0.62618
8,8.0,0.64394
9,9.0,0.65691
10,10.0,0.66647
11,11.0,0.6733
12,12.0,0.67808
13,13.0,0.68081
14,14.0,0.68218
15,15.0,0.68286
16,16.0,0.68218
17,17.0,0.68149
18,18.0,0.68013
19,19.0,0.67808
20,20.0,0.67603
21,21.0,0.6733
22,22.0,0.67057
23,23.0,0.66784
24,24.0,0.66511
25,25.0,0.66306
26,26.0,0.66033
27,27.0,0.65828
28,28.0,0.65486
29,29.0,0.65213
30,30.0,0.6494
31,31.0,0.64667
32,32.0,0.64394
33,33.0,0.64121
34,34.0,0.63847
35,35.0,0.63574
36,36.0,0.63233
37,37.0,0.6296
38,38.0,0.62687
39,39.0,0.62413
40,40.0,0.6214
41,42.5,0.61457
42,45.0,0.60775
43,47.5,0.6016
44,50.0,0.59477
45,52.5,0.58794
46,55.0,0.5818
47,57.5,0.57497
48,60.0,0.56814
49,65.0,0.55585
50,70.0,0.54287
51,75.0,0.53058
52,80.0,0.51829
53,85.0,0.506
54,90.0,0.49439
55,95.0,0.48278
56,100.0,0.47117
57,105.0,0.46025
58,110.0,0.44932
59,115.0,0.4384
60,120.0,0.42747
61,125.0,0.41723
62,130.0,0.40698
63,135.0,0.39742
64,140.0,0.38786
65,145.0,0.3783
66,150.0,0.36874
67,155.0,0.35987
68,160.0,0.35099
69,165.0,0.34211
70,170.0,0.33392
71,175.0,0.32572
72,180.0,0.31821
73,185.0,0.31002
74,190.0,0.30251
75,195.0,0.295
76,200.0,0.28748
77,205.0,0.27997
78,210.0,0.27314
79,215.0,0.26632
80,220.0,0.26017
81,225.0,0.25334
82,230.0,0.2472
83,235.0,0.24105
84,240.0,0.2349
85,245.0,0.22944
86,250.0,0.2233
87,255.0,0.21783
88,260.0,0.21305
89,265.0,0.20759
90,270.0,0.20213
91,275.0,0.19735
92,280.0,0.19257
93,285.0,0.18779
94,290.0,0.18301
95,295.0,0.17823
96,300.0,0.17413
97,305.0,0.16935
98,310.0,0.16525
99,315.0,0.16115
100,320.0,0.15774
101,325.0,0.15364
102,330.0,0.14955
103,335.0,0.14613
104,340.0,0.14272
105,345.0,0.1393
106,350.0,0.13589
