,distance (mm),relative dose
0,-173.47,0.0025224
1,-168.9,0.0026622
2,-164.34,0.0028376
3,-159.77,0.0030461
4,-155.21,0.0032171
5,-150.65,0.0033893
6,-146.08,0.0036341
7,-141.51,0.0039487
8,-136.95,0.0043313
9,-132.38,0.0048534
10,-127.82,0.0056521
11,-123.25,0.0067308
12,-118.69,0.008017
13,-114.13,0.0094439
14,-109.56,0.011013
15,-104.99,0.012859
16,-100.43,0.014833
17,-95.86,0.016843
18,-91.3,0.019029
19,-86.74,0.021327
20,-82.17,0.023763
21,-81.26,0.024395
22,-80.34,0.025111
23,-79.43,0.025712
24,-78.52,0.026332
25,-77.6,0.027034
26,-76.69,0.027731
27,-75.78,0.028648
28,-74.87,0.029904
29,-73.95,0.031448
30,-73.04,0.033535
31,-72.13,0.036691
32,-71.21,0.041945
33,-70.3,0.051134
34,-69.39,0.067295
35,-68.47,0.090656
36,-67.56,0.11339
37,-66.65,0.1286
38,-65.74,0.13681
39,-64.82,0.1416
40,-63.91,0.14472
41,-63.0,0.1472
42,-62.08,0.14928
43,-61.17,0.15089
44,-60.26,0.1527
45,-59.34,0.15473
46,-58.43,0.15638
47,-57.52,0.15789
48,-56.61,0.15956
49,-55.69,0.16119
50,-54.78,0.16281
51,-53.87,0.16446
52,-52.95,0.16597
53,-52.04,0.16745
54,-51.13,0.16894
55,-50.22,0.1705
56,-48.39,0.17382
57,-46.56,0.17706
58,-44.74,0.18018
59,-42.91,0.18329
60,-41.08,0.1866
61,-39.26,0.18998
62,-37.43,0.19326
63,-35.61,0.19649
64,-33.78,0.19989
65,-31.95,0.20363
66,-30.13,0.20736
67,-28.3,0.21051
68,-26.48,0.21343
69,-24.65,0.2166
70,-22.82,0.21991
71,-21.0,0.22341
72,-19.17,0.22689
73,-17.35,0.23022
74,-15.52,0.23367
75,-13.69,0.23732
76,-11.87,0.24093
77,-10.04,0.24444
78,-8.22,0.24819
79,-6.39,0.25215
80,-4.57,0.25584
81,-2.74,0.25939
82,-0.91,0.26313
83,0.0,0.26523
84,0.91,0.2673
85,2.74,0.27114
86,4.57,0.27531
87,6.39,0.27971
88,8.22,0.28416
89,10.04,0.28874
90,11.87,0.29336
91,13.69,0.29792
92,15.52,0.3027
93,17.35,0.30747
94,19.17,0.31206
95,21.0,0.31693
96,22.82,0.32208
97,24.65,0.32706
98,26.48,0.33193
99,28.3,0.33728
100,30.13,0.34272
101,31.95,0.34741
102,33.78,0.35173
103,35.61,0.3565
104,37.43,0.36192
105,39.26,0.3673
106,41.08,0.37239
107,42.91,0.3773
108,44.74,0.38235
109,46.56,0.38773
110,48.39,0.39259
111,50.22,0.39744
112,51.13,0.39987
113,52.04,0.40185
114,52.95,0.40402
115,53.87,0.40668
116,54.78,0.40929
117,55.69,0.41147
118,56.61,0.41377
119,57.52,0.41647
120,58.43,0.41854
121,59.34,0.42014
122,60.26,0.42189
123,61.17,0.42362
124,62.08,0.42481
125,63.0,0.42531
126,63.91,0.42435
127,64.82,0.42006
128,65.74,0.40979
129,66.65,0.38518
130,67.56,0.33052
131,68.47,0.24565
132,69.39,0.1607
133,70.3,0.105
134,71.21,0.074821
135,72.13,0.057865
136,73.04,0.047856
137,73.95,0.041546
138,74.87,0.037377
139,75.78,0.034379
140,76.69,0.032077
141,77.6,0.030253
142,78.52,0.028687
143,79.43,0.027363
144,80.34,0.026316
145,81.26,0.025357
146,82.17,0.024477
147,86.74,0.021041
148,91.3,0.018233
149,95.86,0.01589
150,100.43,0.013996
151,104.99,0.012436
152,109.56,0.011042
153,114.13,0.0098988
154,118.69,0.0089663
155,123.25,0.008099
156,127.82,0.0073353
157,132.38,0.0066825
158,136.95,0.006131
159,141.51,0.0057158
160,146.08,0.0054054
161,150.65,0.005095
162,155.21,0.0047493
163,159.77,0.0044734
164,164.34,0.004264
165,168.9,0.0040185
166,173.47,0.00374
