,distance (mm),relative dose
0,-180.5,0.0052893
1,-175.75,0.0057238
2,-171.0,0.0061752
3,-166.25,0.0066444
4,-161.5,0.0071842
5,-156.75,0.0077963
6,-152.0,0.0084273
7,-147.25,0.0090711
8,-142.5,0.009763
9,-137.75,0.010545
10,-133.0,0.011399
11,-128.25,0.012322
12,-123.5,0.013328
13,-118.75,0.014403
14,-114.0,0.015587
15,-109.25,0.016924
16,-104.5,0.018407
17,-99.75,0.020018
18,-95.0,0.021828
19,-90.25,0.024018
20,-85.5,0.026666
21,-84.55,0.027332
22,-83.6,0.028108
23,-82.65,0.028917
24,-81.7,0.0298
25,-80.75,0.030901
26,-79.8,0.032402
27,-78.85,0.034305
28,-77.9,0.036751
29,-76.95,0.040166
30,-76.0,0.045203
31,-75.05,0.052983
32,-74.1,0.064891
33,-73.15,0.08209
34,-72.2,0.1047
35,-71.25,0.13092
36,-70.3,0.15695
37,-69.35,0.17882
38,-68.4,0.19461
39,-67.45,0.20467
40,-66.5,0.21078
41,-65.55,0.21449
42,-64.6,0.21668
43,-63.65,0.21832
44,-62.7,0.21969
45,-61.75,0.22054
46,-60.8,0.22101
47,-59.85,0.22157
48,-58.9,0.22227
49,-57.95,0.22263
50,-57.0,0.22281
51,-56.05,0.22326
52,-55.1,0.22381
53,-54.15,0.22431
54,-53.2,0.22483
55,-52.25,0.22536
56,-50.35,0.22627
57,-48.45,0.22691
58,-46.55,0.22753
59,-44.65,0.22819
60,-42.75,0.22876
61,-40.85,0.22937
62,-38.95,0.22987
63,-37.05,0.23029
64,-35.15,0.2307
65,-33.25,0.23099
66,-31.35,0.23133
67,-29.45,0.23176
68,-27.55,0.23193
69,-25.65,0.23186
70,-23.75,0.23186
71,-21.85,0.23174
72,-19.95,0.23172
73,-18.05,0.23195
74,-16.15,0.232
75,-14.25,0.23193
76,-12.35,0.23207
77,-10.45,0.2322
78,-8.55,0.23197
79,-6.65,0.23175
80,-4.75,0.23169
81,-2.85,0.23155
82,-0.95,0.23129
83,0.0,0.23122
84,0.95,0.23129
85,2.85,0.23155
86,4.75,0.23169
87,6.65,0.23175
88,8.55,0.23197
89,10.45,0.2322
90,12.35,0.23207
91,14.25,0.23193
92,16.15,0.232
93,18.05,0.23195
94,19.95,0.23172
95,21.85,0.23174
96,23.75,0.23186
97,25.65,0.23186
98,27.55,0.23193
99,29.45,0.23176
100,31.35,0.23133
101,33.25,0.23099
102,35.15,0.2307
103,37.05,0.23029
104,38.95,0.22987
105,40.85,0.22937
106,42.75,0.22876
107,44.65,0.22819
108,46.55,0.22753
109,48.45,0.22691
110,50.35,0.22627
111,52.25,0.22536
112,53.2,0.22483
113,54.15,0.22431
114,55.1,0.22381
115,56.05,0.22326
116,57.0,0.22281
117,57.95,0.22263
118,58.9,0.22227
119,59.85,0.22157
120,60.8,0.22101
121,61.75,0.22054
122,62.7,0.21969
123,63.65,0.21832
124,64.6,0.21668
125,65.55,0.21449
126,66.5,0.21078
127,67.45,0.20467
128,68.4,0.19461
129,69.35,0.17882
130,70.3,0.15695
131,71.25,0.13092
132,72.2,0.1047
133,73.15,0.08209
134,74.1,0.064891
135,75.05,0.052983
136,76.0,0.045203
137,76.95,0.040166
138,77.9,0.036751
139,78.85,0.034305
140,79.8,0.032402
141,80.75,0.030901
142,81.7,0.0298
143,82.65,0.028917
144,83.6,0.028108
145,84.55,0.027332
146,85.5,0.026666
147,90.25,0.024018
148,95.0,0.021828
149,99.75,0.020018
150,104.5,0.018407
151,109.25,0.016924
152,114.0,0.015587
153,118.75,0.014403
154,123.5,0.013328
155,128.25,0.012322
156,133.0,0.011399
157,137.75,0.010545
158,142.5,0.009763
159,147.25,0.0090711
160,152.0,0.0084273
161,156.75,0.0077963
162,161.5,0.0071842
163,166.25,0.0066444
164,171.0,0.0061752
165,175.75,0.0057238
166,180.5,0.0052893
