,distance (mm),relative dose
0,-190.0,0.0023706
1,-185.0,0.0025101
2,-180.0,0.0026521
3,-175.0,0.0028282
4,-170.0,0.0030705
5,-165.0,0.0033129
6,-160.0,0.0035588
7,-155.0,0.0038732
8,-150.0,0.0042544
9,-145.0,0.0047778
10,-140.0,0.0054748
11,-135.0,0.0062753
12,-130.0,0.0071517
13,-125.0,0.0081315
14,-120.0,0.0092502
15,-115.0,0.010513
16,-110.0,0.011942
17,-105.0,0.013499
18,-100.0,0.015125
19,-95.0,0.01699
20,-90.0,0.019218
21,-89.0,0.019694
22,-88.0,0.020206
23,-87.0,0.020797
24,-86.0,0.021387
25,-85.0,0.021943
26,-84.0,0.022623
27,-83.0,0.02344
28,-82.0,0.024367
29,-81.0,0.025573
30,-80.0,0.027132
31,-79.0,0.029187
32,-78.0,0.032374
33,-77.0,0.037787
34,-76.0,0.047003
35,-75.0,0.060555
36,-74.0,0.075002
37,-73.0,0.085475
38,-72.0,0.091275
39,-71.0,0.094633
40,-70.0,0.096981
41,-69.0,0.098808
42,-68.0,0.10026
43,-67.0,0.10166
44,-66.0,0.10318
45,-65.0,0.10451
46,-64.0,0.1058
47,-63.0,0.10729
48,-62.0,0.1086
49,-61.0,0.10977
50,-60.0,0.11107
51,-59.0,0.1123
52,-58.0,0.11329
53,-57.0,0.11436
54,-56.0,0.11566
55,-55.0,0.11687
56,-53.0,0.11919
57,-51.0,0.12162
58,-49.0,0.12385
59,-47.0,0.126
60,-45.0,0.12837
61,-43.0,0.13087
62,-41.0,0.13345
63,-39.0,0.13584
64,-37.0,0.13805
65,-35.0,0.14038
66,-33.0,0.14272
67,-31.0,0.14516
68,-29.0,0.14754
69,-27.0,0.14983
70,-25.0,0.15233
71,-23.0,0.15479
72,-21.0,0.15732
73,-19.0,0.15976
74,-17.0,0.16181
75,-15.0,0.16405
76,-13.0,0.16661
77,-11.0,0.16909
78,-9.0,0.17162
79,-7.0,0.17431
80,-5.0,0.17708
81,-3.0,0.17975
82,-1.0,0.18215
83,0.0,0.18339
84,1.0,0.18483
85,3.0,0.18781
86,5.0,0.19074
87,7.0,0.19357
88,9.0,0.19632
89,11.0,0.19908
90,13.0,0.20203
91,15.0,0.20518
92,17.0,0.20836
93,19.0,0.21161
94,21.0,0.21486
95,23.0,0.21802
96,25.0,0.22121
97,27.0,0.22433
98,29.0,0.22755
99,31.0,0.2306
100,33.0,0.23337
101,35.0,0.23649
102,37.0,0.23961
103,39.0,0.24259
104,41.0,0.24573
105,43.0,0.2487
106,45.0,0.25155
107,47.0,0.25442
108,49.0,0.25732
109,51.0,0.26024
110,53.0,0.26272
111,55.0,0.26507
112,56.0,0.26617
113,57.0,0.26712
114,58.0,0.26826
115,59.0,0.26955
116,60.0,0.27071
117,61.0,0.27163
118,62.0,0.27252
119,63.0,0.27359
120,64.0,0.27436
121,65.0,0.27489
122,66.0,0.27552
123,67.0,0.2759
124,68.0,0.27569
125,69.0,0.27488
126,70.0,0.27355
127,71.0,0.27076
128,72.0,0.26433
129,73.0,0.24976
130,74.0,0.21847
131,75.0,0.169
132,76.0,0.11844
133,77.0,0.083875
134,78.0,0.064593
135,79.0,0.053424
136,80.0,0.046397
137,81.0,0.041609
138,82.0,0.038208
139,83.0,0.035671
140,84.0,0.033654
141,85.0,0.031981
142,86.0,0.03049
143,87.0,0.029178
144,88.0,0.02803
145,89.0,0.02696
146,90.0,0.026049
147,95.0,0.022323
148,100.0,0.019247
149,105.0,0.016828
150,110.0,0.014828
151,115.0,0.013091
152,120.0,0.011577
153,125.0,0.01033
154,130.0,0.0093244
155,135.0,0.0084498
156,140.0,0.0076842
157,145.0,0.0070571
158,150.0,0.0065022
159,155.0,0.0059862
160,160.0,0.0055775
161,165.0,0.0052385
162,170.0,0.0048565
163,175.0,0.0045093
164,180.0,0.0042691
165,185.0,0.0040291
166,190.0,0.0037582
