,distance (mm),relative dose
0,-180.5,0.0023605
1,-175.75,0.0025005
2,-171.0,0.002639
3,-166.25,0.0027771
4,-161.5,0.0029169
5,-156.75,0.0030919
6,-152.0,0.0033356
7,-147.25,0.003647
8,-142.5,0.0040267
9,-137.75,0.0045462
10,-133.0,0.005274
11,-128.25,0.0061776
12,-123.5,0.007223
13,-118.75,0.008403
14,-114.0,0.0097215
15,-109.25,0.011216
16,-104.5,0.012881
17,-99.75,0.014694
18,-95.0,0.016648
19,-90.25,0.018693
20,-85.5,0.020951
21,-84.55,0.021504
22,-83.6,0.022154
23,-82.65,0.022807
24,-81.7,0.023436
25,-80.75,0.024199
26,-79.8,0.025033
27,-78.85,0.025866
28,-77.9,0.026938
29,-76.95,0.02834
30,-76.0,0.030298
31,-75.05,0.0332
32,-74.1,0.037617
33,-73.15,0.045013
34,-72.2,0.057658
35,-71.25,0.076072
36,-70.3,0.095145
37,-69.35,0.10854
38,-68.4,0.116
39,-67.45,0.12034
40,-66.5,0.1234
41,-65.55,0.12583
42,-64.6,0.12785
43,-63.65,0.12978
44,-62.7,0.13163
45,-61.75,0.13321
46,-60.8,0.13476
47,-59.85,0.13638
48,-58.9,0.1377
49,-57.95,0.13904
50,-57.0,0.14053
51,-56.05,0.14191
52,-55.1,0.14328
53,-54.15,0.14469
54,-53.2,0.14611
55,-52.25,0.14755
56,-50.35,0.15065
57,-48.45,0.15368
58,-46.55,0.15654
59,-44.65,0.15942
60,-42.75,0.1622
61,-40.85,0.16508
62,-38.95,0.16804
63,-37.05,0.17097
64,-35.15,0.17401
65,-33.25,0.17706
66,-31.35,0.17986
67,-29.45,0.18264
68,-27.55,0.18575
69,-25.65,0.18883
70,-23.75,0.19168
71,-21.85,0.19446
72,-19.95,0.19742
73,-18.05,0.20069
74,-16.15,0.20386
75,-14.25,0.20687
76,-12.35,0.21016
77,-10.45,0.21359
78,-8.55,0.2167
79,-6.65,0.21989
80,-4.75,0.22332
81,-2.85,0.22641
82,-0.95,0.22931
83,0.0,0.23101
84,0.95,0.23298
85,2.85,0.23696
86,4.75,0.24059
87,6.65,0.24409
88,8.55,0.24783
89,10.45,0.25195
90,12.35,0.256
91,14.25,0.25991
92,16.15,0.26392
93,18.05,0.26794
94,19.95,0.27219
95,21.85,0.27651
96,23.75,0.28072
97,25.65,0.28503
98,27.55,0.28928
99,29.45,0.29358
100,31.35,0.29784
101,33.25,0.30186
102,35.15,0.30591
103,37.05,0.31003
104,38.95,0.31425
105,40.85,0.31845
106,42.75,0.32239
107,44.65,0.32647
108,46.55,0.3309
109,48.45,0.33527
110,50.35,0.33922
111,52.25,0.34299
112,53.2,0.34483
113,54.15,0.34653
114,55.1,0.34836
115,56.05,0.35032
116,57.0,0.3523
117,57.95,0.35428
118,58.9,0.35581
119,59.85,0.3568
120,60.8,0.35803
121,61.75,0.35932
122,62.7,0.36015
123,63.65,0.36097
124,64.6,0.36145
125,65.55,0.36083
126,66.5,0.35913
127,67.45,0.35564
128,68.4,0.34704
129,69.35,0.32711
130,70.3,0.28417
131,71.25,0.21588
132,72.2,0.14675
133,73.15,0.10005
134,74.1,0.074139
135,75.05,0.05927
136,76.0,0.049973
137,76.95,0.043739
138,77.9,0.039344
139,78.85,0.036137
140,79.8,0.033702
141,80.75,0.031728
142,81.7,0.03011
143,82.65,0.028717
144,83.6,0.027463
145,84.55,0.026321
146,85.5,0.025313
147,90.25,0.021349
148,95.0,0.018361
149,99.75,0.016003
150,104.5,0.014067
151,109.25,0.012436
152,114.0,0.01104
153,118.75,0.0099252
154,123.5,0.0089894
155,128.25,0.008123
156,133.0,0.0073951
157,137.75,0.0068059
158,142.5,0.0062851
159,147.25,0.0058329
160,152.0,0.0054501
161,156.75,0.0051384
162,161.5,0.004826
163,166.25,0.0045134
164,171.0,0.0043052
165,175.75,0.0040944
166,180.5,0.0037445
