,distance (mm),relative dose
0,-209.0,0.0022257
1,-203.5,0.0022931
2,-198.0,0.0024314
3,-192.5,0.0025708
4,-187.0,0.0027801
5,-181.5,0.0030238
6,-176.0,0.0032671
7,-170.5,0.0035805
8,-165.0,0.0039306
9,-159.5,0.0043521
10,-154.0,0.0048431
11,-148.5,0.005402
12,-143.0,0.0060642
13,-137.5,0.0067578
14,-132.0,0.007516
15,-126.5,0.0084147
16,-121.0,0.0094235
17,-115.5,0.010505
18,-110.0,0.011719
19,-104.5,0.013105
20,-99.0,0.014598
21,-97.9,0.014896
22,-96.8,0.015214
23,-95.7,0.015627
24,-94.6,0.016043
25,-93.5,0.016388
26,-92.4,0.016832
27,-91.3,0.01738
28,-90.2,0.017969
29,-89.1,0.018707
30,-88.0,0.019664
31,-86.9,0.020832
32,-85.8,0.022553
33,-84.7,0.025558
34,-83.6,0.0308
35,-82.5,0.03847
36,-81.4,0.046503
37,-80.3,0.052369
38,-79.2,0.055775
39,-78.1,0.057693
40,-77.0,0.058992
41,-75.9,0.060178
42,-74.8,0.061158
43,-73.7,0.062101
44,-72.6,0.063094
45,-71.5,0.063892
46,-70.4,0.064632
47,-69.3,0.065455
48,-68.2,0.066279
49,-67.1,0.067018
50,-66.0,0.067716
51,-64.9,0.068368
52,-63.8,0.069052
53,-62.7,0.06993
54,-61.6,0.070888
55,-60.5,0.071659
56,-58.3,0.072902
57,-56.1,0.074266
58,-53.9,0.075769
59,-51.7,0.077329
60,-49.5,0.078911
61,-47.3,0.080496
62,-45.1,0.081967
63,-42.9,0.08325
64,-40.7,0.084646
65,-38.5,0.08618
66,-36.3,0.087644
67,-34.1,0.08919
68,-31.9,0.090874
69,-29.7,0.092378
70,-27.5,0.093717
71,-25.3,0.095123
72,-23.1,0.09662
73,-20.9,0.098091
74,-18.7,0.099474
75,-16.5,0.10098
76,-14.3,0.10245
77,-12.1,0.10382
78,-9.9,0.1053
79,-7.7,0.10686
80,-5.5,0.10848
81,-3.3,0.11007
82,-1.1,0.11159
83,0.0,0.11238
84,1.1,0.11325
85,3.3,0.11485
86,5.5,0.11631
87,7.7,0.11794
88,9.9,0.11962
89,12.1,0.12137
90,14.3,0.12305
91,16.5,0.12477
92,18.7,0.12669
93,20.9,0.12849
94,23.1,0.1301
95,25.3,0.13167
96,27.5,0.1333
97,29.7,0.13497
98,31.9,0.13648
99,34.1,0.13794
100,36.3,0.13963
101,38.5,0.14145
102,40.7,0.14328
103,42.9,0.14493
104,45.1,0.14646
105,47.3,0.14804
106,49.5,0.14942
107,51.7,0.15058
108,53.9,0.15196
109,56.1,0.15349
110,58.3,0.15464
111,60.5,0.15542
112,61.6,0.15581
113,62.7,0.15636
114,63.8,0.15685
115,64.9,0.15728
116,66.0,0.15788
117,67.1,0.15832
118,68.2,0.15841
119,69.3,0.15866
120,70.4,0.15899
121,71.5,0.15917
122,72.6,0.15948
123,73.7,0.15952
124,74.8,0.15921
125,75.9,0.15885
126,77.0,0.15797
127,78.1,0.15621
128,79.2,0.15265
129,80.3,0.14442
130,81.4,0.12683
131,82.5,0.099547
132,83.6,0.072173
133,84.7,0.053608
134,85.8,0.043236
135,86.9,0.03719
136,88.0,0.033354
137,89.1,0.030719
138,90.2,0.028708
139,91.3,0.027113
140,92.4,0.025935
141,93.5,0.025029
142,94.6,0.024162
143,95.7,0.023271
144,96.8,0.022477
145,97.9,0.021909
146,99.0,0.0214
147,104.5,0.0187
148,110.0,0.016447
149,115.5,0.014542
150,121.0,0.012919
151,126.5,0.011573
152,132.0,0.010434
153,137.5,0.0094281
154,143.0,0.0084905
155,148.5,0.0076958
156,154.0,0.007074
157,159.5,0.006482
158,165.0,0.0058864
159,170.5,0.0054366
160,176.0,0.0050958
161,181.5,0.0047494
162,187.0,0.0043988
163,192.5,0.0040862
164,198.0,0.0038467
165,203.5,0.0036064
166,209.0,0.0033285
