,distance (mm),relative dose
0,-173.47,0.0061004
1,-168.9,0.0065176
2,-164.34,0.0070565
3,-159.77,0.0076471
4,-155.21,0.0082517
5,-150.65,0.0089081
6,-146.08,0.0096531
7,-141.51,0.010492
8,-136.95,0.011368
9,-132.38,0.012254
10,-127.82,0.013209
11,-123.25,0.014271
12,-118.69,0.015418
13,-114.13,0.016604
14,-109.56,0.017859
15,-104.99,0.019311
16,-100.43,0.020964
17,-95.86,0.022712
18,-91.3,0.024556
19,-86.74,0.026665
20,-82.17,0.029199
21,-81.26,0.029828
22,-80.34,0.030469
23,-79.43,0.031096
24,-78.52,0.03195
25,-77.6,0.033075
26,-76.69,0.034427
27,-75.78,0.036234
28,-74.87,0.038707
29,-73.95,0.042335
30,-73.04,0.047915
31,-72.13,0.056723
32,-71.21,0.070665
33,-70.3,0.091199
34,-69.39,0.11912
35,-68.47,0.15221
36,-67.56,0.18436
37,-66.65,0.21091
38,-65.74,0.22951
39,-64.82,0.24108
40,-63.91,0.24746
41,-63.0,0.25091
42,-62.08,0.25315
43,-61.17,0.25476
44,-60.26,0.25601
45,-59.34,0.25678
46,-58.43,0.25708
47,-57.52,0.25748
48,-56.61,0.25795
49,-55.69,0.25813
50,-54.78,0.25824
51,-53.87,0.25855
52,-52.95,0.259
53,-52.04,0.25957
54,-51.13,0.26004
55,-50.22,0.26032
56,-48.39,0.26094
57,-46.56,0.26165
58,-44.74,0.26226
59,-42.91,0.26295
60,-41.08,0.26381
61,-39.26,0.26435
62,-37.43,0.26464
63,-35.61,0.26497
64,-33.78,0.26531
65,-31.95,0.26564
66,-30.13,0.26588
67,-28.3,0.26598
68,-26.48,0.2661
69,-24.65,0.2663
70,-22.82,0.26626
71,-21.0,0.2661
72,-19.17,0.26622
73,-17.35,0.26625
74,-15.52,0.26613
75,-13.69,0.26615
76,-11.87,0.26613
77,-10.04,0.26599
78,-8.22,0.2659
79,-6.39,0.2659
80,-4.57,0.26588
81,-2.74,0.26578
82,-0.91,0.26572
83,0.0,0.26571
84,0.91,0.26572
85,2.74,0.26578
86,4.57,0.26588
87,6.39,0.2659
88,8.22,0.2659
89,10.04,0.26599
90,11.87,0.26613
91,13.69,0.26615
92,15.52,0.26613
93,17.35,0.26625
94,19.17,0.26622
95,21.0,0.2661
96,22.82,0.26626
97,24.65,0.2663
98,26.48,0.2661
99,28.3,0.26598
100,30.13,0.26588
101,31.95,0.26564
102,33.78,0.26531
103,35.61,0.26497
104,37.43,0.26464
105,39.26,0.26435
106,41.08,0.26381
107,42.91,0.26295
108,44.74,0.26226
109,46.56,0.26165
110,48.39,0.26094
111,50.22,0.26032
112,51.13,0.26004
113,52.04,0.25957
114,52.95,0.259
115,53.87,0.25855
116,54.78,0.25824
117,55.69,0.25813
118,56.61,0.25795
119,57.52,0.25748
120,58.43,0.25708
121,59.34,0.25678
122,60.26,0.25601
123,61.17,0.25476
124,62.08,0.25315
125,63.0,0.25091
126,63.91,0.24746
127,64.82,0.24108
128,65.74,0.22951
129,66.65,0.21091
130,67.56,0.18436
131,68.47,0.15221
132,69.39,0.11912
133,70.3,0.091199
134,71.21,0.070665
135,72.13,0.056723
136,73.04,0.047915
137,73.95,0.042335
138,74.87,0.038707
139,75.78,0.036234
140,76.69,0.034427
141,77.6,0.033075
142,78.52,0.03195
143,79.43,0.031096
144,80.34,0.030469
145,81.26,0.029828
146,82.17,0.029199
147,86.74,0.026665
148,91.3,0.024556
149,95.86,0.022712
150,100.43,0.020964
151,104.99,0.019311
152,109.56,0.017859
153,114.13,0.016604
154,118.69,0.015418
155,123.25,0.014271
156,127.82,0.013209
157,132.38,0.012254
158,136.95,0.011368
159,141.51,0.010492
160,146.08,0.0096531
161,150.65,0.0089081
162,155.21,0.0082517
163,159.77,0.0076471
164,164.34,0.0070565
165,168.9,0.0065176
166,173.47,0.0061004
