,distance (mm),relative dose
0,-190.0,0.8919255121018205
1,-185.0,0.9444116375292244
2,-180.0,0.9978383745234278
3,-175.0,1.0640950532887743
4,-170.0,1.155259126342968
5,-165.0,1.2464608238598334
6,-160.0,1.338979377570218
7,-155.0,1.4572706882109048
8,-150.0,1.6006951399164706
9,-145.0,1.7976215775415834
10,-140.0,2.0598640823652437
11,-135.0,2.3610479060543974
12,-130.0,2.690788696911579
13,-125.0,3.059433182171582
14,-120.0,3.4803380460829576
15,-115.0,3.955459760704648
16,-110.0,4.493113332287159
17,-105.0,5.078926216089798
18,-100.0,5.690699979136098
19,-95.0,6.392396207968417
20,-90.0,7.230669236300002
21,-89.0,7.409761678618599
22,-88.0,7.602398927499107
23,-87.0,7.824759501890475
24,-86.0,8.046743831655123
25,-85.0,8.255935844111299
26,-84.0,8.511782190280725
27,-83.0,8.819174050310753
28,-82.0,9.167952819279954
29,-81.0,9.621703839103962
30,-80.0,10.20826921216004
31,-79.0,10.98145192006911
32,-78.0,12.180543545424928
33,-77.0,14.217155709858892
34,-76.0,17.684626189708037
35,-75.0,22.78349337101398
36,-74.0,28.21909949323409
37,-73.0,32.15950946886995
38,-72.0,34.341728303844455
39,-71.0,35.605157760369345
40,-70.0,36.4885801439073
41,-69.0,37.17597907692427
42,-68.0,37.72228627492134
43,-67.0,38.249028752328975
44,-66.0,38.82092058494298
45,-65.0,39.32132593848024
46,-64.0,39.806681506948706
47,-63.0,40.36728600076112
48,-62.0,40.86016646176399
49,-61.0,41.30037267502608
50,-60.0,41.78949068976175
51,-59.0,42.25227158062703
52,-58.0,42.624753761079575
53,-57.0,43.0273355116697
54,-56.0,43.516453526405364
55,-55.0,43.971709524736255
56,-53.0,44.84459705872605
57,-51.0,45.75887150165503
58,-49.0,46.59789701924005
59,-47.0,47.40682296668749
60,-45.0,48.29852273201329
61,-43.0,49.23913429881264
62,-41.0,50.20984543574958
63,-39.0,51.10907009360975
64,-37.0,51.94057071866039
65,-35.0,52.81722069891739
66,-33.0,53.69763312544159
67,-31.0,54.61567001463776
68,-29.0,55.51113222623074
69,-27.0,56.372732421418945
70,-25.0,57.3133439882183
71,-23.0,58.23890576994887
72,-21.0,59.19080467554981
73,-19.0,60.108841564745994
74,-17.0,60.880143049521465
75,-15.0,61.72293101337368
76,-13.0,62.686117257776225
77,-11.0,63.619203932041174
78,-9.0,64.57110283764213
79,-7.0,65.58320088351823
80,-5.0,66.62539849953191
81,-3.0,67.62997165287362
82,-1.0,68.53295875700101
83,0.0,68.99950209413349
84,1.0,69.54129435660991
85,3.0,70.66250334423475
86,5.0,71.76490010052359
87,7.0,72.82967239414046
88,9.0,73.86434511761975
89,11.0,74.90278028736624
90,13.0,76.01270193618947
91,15.0,77.19787251035667
92,17.0,78.39433042332544
93,19.0,79.6171254601646
94,21.0,80.83992049700377
95,23.0,82.02885351743815
96,25.0,83.22907387667414
97,27.0,84.40295711203973
98,29.0,85.6144648100773
99,31.0,86.76201092157251
100,33.0,87.80420853758619
101,35.0,88.9780917729518
102,37.0,90.15197500831738
103,39.0,91.27318399594222
104,41.0,92.4545921238422
105,43.0,93.57203866519984
106,45.0,94.6443358513511
107,47.0,95.72415793003675
108,49.0,96.81526734752401
109,51.0,97.91390165754568
110,53.0,98.84698833181064
111,55.0,99.73116320460201
112,56.0,100.14503229399374
113,57.0,100.5024646893775
114,58.0,100.931383563838
115,59.0,101.41673913230647
116,60.0,101.85318289930137
117,61.0,102.19932795588352
118,62.0,102.5341856736641
119,63.0,102.93676742425423
120,64.0,103.22647578682842
121,65.0,103.4258854389899
122,66.0,103.66291955382331
123,67.0,103.80589251197682
124,68.0,103.72688114036568
125,69.0,103.42212299272269
126,70.0,102.92171763918543
127,71.0,101.87199513063736
128,72.0,99.45274218082942
129,73.0,93.97085796952277
130,74.0,82.19816359946203
131,75.0,63.585341915636405
132,76.0,44.56241358868625
133,77.0,31.557518066118366
134,78.0,24.302769173708295
135,79.0,20.100492937875497
136,80.0,17.45662194591587
137,81.0,15.655162673181746
138,82.0,14.375554697707903
139,83.0,13.421022079719918
140,84.0,12.6621366676262
141,85.0,12.032679407124071
142,86.0,11.471698668684935
143,87.0,10.978065718428633
144,88.0,10.546136886954368
145,89.0,10.143555136364245
146,90.0,9.80079628142256
147,95.0,8.3989088022648
148,100.0,7.241580330474875
149,105.0,6.331444578439819
150,110.0,5.578955325000335
151,115.0,4.925418408388143
152,120.0,4.355784043534453
153,125.0,3.8866069940149353
154,130.0,3.508255397385563
155,135.0,3.1791918468564764
156,140.0,2.8911389606398417
157,145.0,2.6551959552238915
158,150.0,2.4464178118571063
159,155.0,2.2522755844697198
160,160.0,2.0985044055293613
161,165.0,1.9709574770713687
162,170.0,1.827232029664427
163,175.0,1.6965998952673327
164,180.0,1.6062259359292506
165,185.0,1.5159272255165126
166,190.0,1.4140025561381346
