,distance (mm),relative dose
0,-209.0,0.0036058
1,-203.5,0.0038668
2,-198.0,0.0041433
3,-192.5,0.0045074
4,-187.0,0.0048914
5,-181.5,0.005241
6,-176.0,0.0056405
7,-170.5,0.0061072
8,-165.0,0.0066257
9,-159.5,0.0071993
10,-154.0,0.0077735
11,-148.5,0.0083815
12,-143.0,0.009123
13,-137.5,0.0099284
14,-132.0,0.010761
15,-126.5,0.011723
16,-121.0,0.012834
17,-115.5,0.014102
18,-110.0,0.015548
19,-104.5,0.017202
20,-99.0,0.019046
21,-97.9,0.019479
22,-96.8,0.019946
23,-95.7,0.02045
24,-94.6,0.021038
25,-93.5,0.021676
26,-92.4,0.022441
27,-91.3,0.023447
28,-90.2,0.024686
29,-89.1,0.026225
30,-88.0,0.028472
31,-86.9,0.031896
32,-85.8,0.036811
33,-84.7,0.043716
34,-83.6,0.052778
35,-82.5,0.063274
36,-81.4,0.073774
37,-80.3,0.082706
38,-79.2,0.089359
39,-78.1,0.093836
40,-77.0,0.096672
41,-75.9,0.0985
42,-74.8,0.099684
43,-73.7,0.10049
44,-72.6,0.10111
45,-71.5,0.10161
46,-70.4,0.10208
47,-69.3,0.10255
48,-68.2,0.10292
49,-67.1,0.1033
50,-66.0,0.10373
51,-64.9,0.10415
52,-63.8,0.10464
53,-62.7,0.10515
54,-61.6,0.10551
55,-60.5,0.1057
56,-58.3,0.10634
57,-56.1,0.10713
58,-53.9,0.10771
59,-51.7,0.10822
60,-49.5,0.10882
61,-47.3,0.10938
62,-45.1,0.10973
63,-42.9,0.11007
64,-40.7,0.11036
65,-38.5,0.11049
66,-36.3,0.11077
67,-34.1,0.11116
68,-31.9,0.11147
69,-29.7,0.11178
70,-27.5,0.11191
71,-25.3,0.11196
72,-23.1,0.11208
73,-20.9,0.11212
74,-18.7,0.11219
75,-16.5,0.11229
76,-14.3,0.1124
77,-12.1,0.11251
78,-9.9,0.11249
79,-7.7,0.11244
80,-5.5,0.11244
81,-3.3,0.11248
82,-1.1,0.11249
83,0.0,0.11247
84,1.1,0.11249
85,3.3,0.11248
86,5.5,0.11244
87,7.7,0.11244
88,9.9,0.11249
89,12.1,0.11251
90,14.3,0.1124
91,16.5,0.11229
92,18.7,0.11219
93,20.9,0.11212
94,23.1,0.11208
95,25.3,0.11196
96,27.5,0.11191
97,29.7,0.11178
98,31.9,0.11147
99,34.1,0.11116
100,36.3,0.11077
101,38.5,0.11049
102,40.7,0.11036
103,42.9,0.11007
104,45.1,0.10973
105,47.3,0.10938
106,49.5,0.10882
107,51.7,0.10822
108,53.9,0.10771
109,56.1,0.10713
110,58.3,0.10634
111,60.5,0.1057
112,61.6,0.10551
113,62.7,0.10515
114,63.8,0.10464
115,64.9,0.10415
116,66.0,0.10373
117,67.1,0.1033
118,68.2,0.10292
119,69.3,0.10255
120,70.4,0.10208
121,71.5,0.10161
122,72.6,0.10111
123,73.7,0.10049
124,74.8,0.099684
125,75.9,0.0985
126,77.0,0.096672
127,78.1,0.093836
128,79.2,0.089359
129,80.3,0.082706
130,81.4,0.073774
131,82.5,0.063274
132,83.6,0.052778
133,84.7,0.043716
134,85.8,0.036811
135,86.9,0.031896
136,88.0,0.028472
137,89.1,0.026225
138,90.2,0.024686
139,91.3,0.023447
140,92.4,0.022441
141,93.5,0.021676
142,94.6,0.021038
143,95.7,0.02045
144,96.8,0.019946
145,97.9,0.019479
146,99.0,0.019046
147,104.5,0.017202
148,110.0,0.015548
149,115.5,0.014102
150,121.0,0.012834
151,126.5,0.011723
152,132.0,0.010761
153,137.5,0.0099284
154,143.0,0.009123
155,148.5,0.0083815
156,154.0,0.0077735
157,159.5,0.0071993
158,165.0,0.0066257
159,170.5,0.0061072
160,176.0,0.0056405
161,181.5,0.005241
162,187.0,0.0048914
163,192.5,0.0045074
164,198.0,0.0041433
165,203.5,0.0038668
166,209.0,0.0036058
